date,BASE (top3/5),+stress gate,"+eligibility (CNH,SGD)",+elig +stress,top4/6 +elig +stress
2013-01-04,,,,,
2013-01-11,,,,,
2013-01-18,,,,,
2013-01-25,,,,,
2013-02-01,,,,,
2013-02-08,,,,,
2013-02-15,,,,,
2013-02-22,,,,,
2013-03-01,,,,,
2013-03-08,,,,,
2013-03-15,,,,,
2013-03-22,,,,,
2013-03-29,,,,,
2013-04-05,,,,,
2013-04-12,,,,,
2013-04-19,,,,,
2013-04-26,,,,,
2013-05-03,,,,,
2013-05-10,,,,,
2013-05-17,,,,,
2013-05-24,,,,,
2013-05-31,,,,,
2013-06-07,,,,,
2013-06-14,,,,,
2013-06-21,,,,,
2013-06-28,,,,,
2013-07-05,,,,,
2013-07-12,,,,,
2013-07-19,,,,,
2013-07-26,,,,,
2013-08-02,,,,,
2013-08-09,,,,,
2013-08-16,,,,,
2013-08-23,,,,,
2013-08-30,,,,,
2013-09-06,,,,,
2013-09-13,,,,,
2013-09-20,,,,,
2013-09-27,,,,,
2013-10-04,,,,,
2013-10-11,,,,,
2013-10-18,,,,,
2013-10-25,,,,,
2013-11-01,,,,,
2013-11-08,,,,,
2013-11-15,,,,,
2013-11-22,,,,,
2013-11-29,,,,,
2013-12-06,,,,,
2013-12-13,,,,,
2013-12-20,,,,,
2013-12-27,,,,,
2014-01-03,0.01057994027746619,0.01057994027746619,0.00920521622044749,0.00920521622044749,0.016354841049302817
2014-01-10,0.00014736263137883702,0.00014736263137883702,-0.0015113564098386196,-0.0015113564098386196,0.006536939885117335
2014-01-17,0.0012230928203244946,0.0012230928203244946,-0.010803144654911641,-0.010803144654911641,-0.010642356757939881
2014-01-24,0.0022198693138633227,0.0022198693138633227,0.0025295847300304108,0.0025295847300304108,-0.002090739468102409
2014-01-31,-0.0019110644784578348,-0.0009555322392289174,-0.002047441341099793,-0.0010237206705498965,-0.0010264256513033462
2014-02-07,0.0007568865263569976,0.00037873789548287104,0.003827008121203849,0.001914309293843024,0.0017220495841210313
2014-02-14,0.0020440509725244017,0.002045649611502268,0.0044522453453495975,0.004465802717695371,0.0028420632600917946
2014-02-21,-0.0008588513780329774,-0.000859554454816399,-0.0010712999572779472,-0.0010745043254860739,-0.00037596467705747606
2014-02-28,0.006700431599559763,0.006705856278044653,0.008361695685735823,0.008386781207228432,0.008011344290200905
2014-03-07,-0.003014568663295101,-0.003017065767205443,-0.003498226643625582,-0.00350820793683974,-0.0016393274602711288
2014-03-14,0.02198234088704853,0.021999942651756938,0.027275823721572626,0.027354822719737572,0.015537822686832728
2014-03-21,0.011456387765230064,0.005732482771007554,0.012831309285258979,0.006429209494371756,0.005614049597888482
2014-03-28,-0.0003238229380221597,-0.0003296275018030075,-0.0014201661855934005,-0.0014569591570727587,-0.0026107193203427775
2014-04-04,0.0005633958653572193,0.0005736853347111871,0.0016379614359534553,0.0016828032052288158,0.0018433206259283093
2014-04-11,-0.0002935334797498225,-0.00029891226764341635,-0.0022851284533223055,-0.0023486303296982834,0.000378436826770443
2014-04-18,0.000988117982739506,0.0010062408471812978,0.002278195133243805,0.002342027796990484,0.001784568096787976
2014-04-25,0.006923771796504597,0.007051699550437904,0.0036493622775358617,0.0037527939259608535,0.005278215261138319
2014-05-02,-0.002862568005566179,-0.0029138760026811397,-0.005137442144695274,-0.005281231803024141,-0.0025644602668220373
2014-05-09,0.006356064984644864,0.0064735357821972,0.007560833018056242,0.007771787355463586,0.00871433733936575
2014-05-16,-0.0026310026448709556,-0.0026789562514082997,-0.003136163112003446,-0.0032206747182551214,0.002021257183312167
2014-05-23,-0.0011077171681505723,-0.0011283316134659087,-0.0012423385512112942,-0.0012761416268170448,-0.0013978372746211495
2014-05-30,-0.00028877913235700174,-0.00029415250821751196,-0.00034897401432586124,-0.0003585141416816365,-0.0007918649007022003
2014-06-06,0.006296022600727046,0.00641377043164401,0.007562477370115904,0.007772126983449314,0.003672118676950722
2014-06-13,-0.0010610594952404184,-0.0010803926226667703,0.0009280675904823938,0.0009528987914442547,-0.0019374122270990363
2014-06-20,0.0026759420595418785,0.0027247027478982046,0.0032946397393637827,0.003389558253535775,-0.0016271086731107613
2014-06-27,0.0011984301905336241,0.001220735765492958,-0.00043552267392909513,-0.0004479688462399975,0.003639976467594484
2014-07-04,0.0005139404220115027,0.0005238574401108062,-0.000444211079332652,-0.00045689808918049433,-0.001010813780749306
2014-07-11,0.0008074745272498966,0.0008238669668189211,0.0009491724168349196,0.00097730829692711,0.0010936051147822229
2014-07-18,0.0006943372715719,0.0007087528938780616,3.5754426462132024e-05,3.683317992958203e-05,0.0013561918599108505
2014-07-25,0.0011173364350393579,0.0011419360780949865,0.002791423127114321,0.0028765763278461786,0.0009590747193015413
2014-08-01,0.0017041964525999753,0.0017693116259409624,0.00010396352669930846,0.00010711146264564496,0.00013628331607964521
2014-08-08,0.0005533373185428869,0.0005750453769703419,0.0008425507609456814,0.0008685529319817665,-0.0002727112664204531
2014-08-15,0.006359503038462303,0.006624457976048169,0.005719414238288408,0.005899934440781148,0.004769475472354997
2014-08-22,0.00285533682412771,0.0029722592849034265,0.00147737412843171,0.0015302518994450513,0.0004146571575987522
2014-08-29,0.0028259820464836528,0.0029415352387567066,-0.004410602109694344,-0.00456832111952154,-0.0056576590603000685
2014-09-05,0.008082273145287082,0.00841779911832924,-0.011806948170262982,-0.012231397052483217,-0.013998351487630168
2014-09-12,0.004852799027352329,0.005049624719319373,-0.00045257668471098154,-0.00046811786257448324,-0.0031683259181479267
2014-09-19,0.003950673461665624,0.004118419079131349,-0.006371737516561522,-0.00659738394895944,-0.00783807621215385
2014-09-26,-0.004859083922155672,-0.005065497718590293,-0.006374774801643016,-0.006598084659630881,-0.0078008798364510015
2014-10-03,0.003032333335262053,0.0031598106094732183,-0.0021948739192780794,-0.002276733695092167,0.004343595219389129
2014-10-10,0.0005275561076820972,0.0005497031056602951,0.0010534359282591877,0.001094946171611583,0.0012783012973489412
2014-10-17,0.0033702496382689946,0.0017559584206165639,0.002369750254650978,0.0012325561805676445,0.0013811513616730886
2014-10-24,0.0093531002067818,0.004872632085734928,0.005104269594803883,0.0026563566043167636,0.0028096368667614594
2014-10-31,0.006236980001898695,0.0032778110777060263,0.0038249400663301495,0.001997206261607189,0.002308442891874488
2014-11-07,0.0002901885535443274,0.00015335216998221737,-0.0031506219483316703,-0.0016482962968490666,-0.0018691167003992144
2014-11-14,0.0077555841589148815,0.004113179453698291,0.011486874355019308,0.006034718633109045,0.006940011570178958
2014-11-21,-0.0020146746803910947,-0.0010770409772555272,-0.009094720053643944,-0.004855161748099968,-0.002579422520918953
2014-11-28,0.016612075366545194,0.008914341365734872,0.00954354863818058,0.005166830289458802,0.007798667982987219
2014-12-05,-0.0043182845565795415,-0.002380682829437168,-0.004779910730157995,-0.002616154550784388,0.0
2014-12-12,0.012567330038379333,0.006978938859577085,0.009607000263677598,0.005282743275071178,0.0034204835540678365
2014-12-19,0.009269538555705779,0.005223666316527648,0.008640335426738923,0.004828892946450373,0.005314601791313385
2014-12-26,0.0024088005831389573,0.0013654199007751924,0.0023287721104956133,0.0013112302612863043,0.0012640602047516243
2015-01-02,0.009118215218964715,0.0051639728635187645,0.0034129322881739006,0.001921434325790812,0.007264243520495566
2015-01-09,0.0051122378452120925,0.0029532272435485087,0.0010906558460218295,0.0006193416883423597,-0.007174071646168995
2015-01-16,-0.0023604676485020127,-0.0013629667067190242,0.0038853165031849483,0.0022058115464557403,0.0038771038109380444
2015-01-23,0.005240493278048209,0.0030342532828172516,-0.0026173176153179347,-0.0015026783620389278,-0.001965839613941862
2015-01-30,-0.004516971830752382,-0.002616139197229743,-0.001692355226015675,-0.0009746208544511995,-0.0012797200707022431
2015-02-06,-0.0038301632456509,-0.002224666127512461,-0.0036657945375151474,-0.002110032119172636,-0.004762200379985835
2015-02-13,0.013340662938799997,0.007791320767535918,0.013433146712498787,0.007752351772666272,0.007721571928058994
2015-02-20,-0.0011296901924834617,-0.000669075331079705,0.005284218203966527,0.0031123491512625202,0.0008582443995356374
2015-02-27,0.009330713861244249,0.005533216149823255,0.003894915086339459,0.0022974585774576425,0.002594183478547106
2015-03-06,0.00880072161189215,0.005282014188201525,-0.0016944617691118057,-0.0010071791502586369,-0.0007880907786664949
2015-03-13,-0.004243276391723494,-0.005121688916009398,-0.0017240032504659021,-0.0020535987858372987,-0.01997076995749415
2015-03-20,-0.008758056427300273,-0.006284336278342576,-0.00789709184952324,-0.0053815130519212695,-0.003820414478087664
2015-03-27,-0.0065074562989955,-0.009062387763913687,-0.00592868503139971,-0.00786064340154032,-0.007747931433528479
2015-04-03,0.017032766216017996,0.011735562144225397,0.015664389976818207,0.010341904034908965,0.007285546428202068
2015-04-10,-0.009916021519085823,-0.013948328971233173,-0.008671014940779162,-0.011719275054328687,-0.01164606808054271
2015-04-17,-0.03142272746167828,-0.043244310535615,-0.029208825123847423,-0.039105921273006605,-0.025121178225415867
2015-04-24,-0.017484477042590277,-0.021513085308351703,5.736287453345374e-06,7.051506965370554e-06,-0.0017156910175421785
2015-05-01,0.004750693986299711,0.005771682752608659,-0.0005438925219415353,-0.0006711022234033657,-0.0027283034035698187
2015-05-08,0.001159319929162168,0.001405083040167675,0.0013074698854642203,0.0016178332536657372,0.0018807099090872032
2015-05-15,0.0016863930043626676,0.0020660034822546354,-0.005797212710646854,-0.0072725299935714445,-0.0008953678554976665
2015-05-22,0.005990619593872917,0.007339911983774022,-0.00038435580215240723,-0.00048153588327264237,0.002033375084491752
2015-05-29,0.0022685986605493883,0.0027661755726072837,-0.005073245587797673,-0.006355057193277489,-0.008405202978121503
2015-06-05,-0.004679916272514453,-0.005700796427221834,0.0026344197512714563,0.003295732258123162,0.0032377408251581144
2015-06-12,-0.0007574432134100543,-0.0009318419499456361,0.0026592040636551914,0.0033725112533088573,0.004330759954235921
2015-06-19,0.004650110495688961,0.005720935350579024,-0.0016370422759530736,-0.0020735296703028837,-0.004534519482660814
2015-06-26,0.00578709355632407,0.007115282575037293,0.006638371449463244,0.008445547096125152,0.0042610923227886285
2015-07-03,-0.004297151652167757,-0.00526266971195647,-0.004458183142371463,-0.005624821434407762,-0.0063241806760514245
2015-07-10,0.013016230635595209,0.015929172811889495,0.012656590475834133,0.0159560220113937,0.016612364173740856
2015-07-17,0.0016829502451594573,0.0020225377267883487,0.0017412309999656009,0.002148261146640575,0.005613188679058832
2015-07-24,0.001624150384391024,0.001951257227556419,-0.0029288149338185607,-0.0036102586151131686,0.0009109129350910006
2015-07-31,0.006358349246130092,0.007638361560380459,0.0061568097500328085,0.007607550035698133,0.011733057430989456
2015-08-07,-0.033016205141373885,-0.03949814058047008,-0.03402401142963015,-0.041789099408837786,-0.05035985811282399
2015-08-14,0.0037421088741198248,0.004234234146438881,0.0038829172294055324,0.004458330463047334,-0.006824776056253135
2015-08-21,0.00047203125125690464,0.0005347077501682538,0.005499902701255756,0.006324740941814881,0.007910360442799866
2015-08-28,0.006258954095262675,0.003547865194675744,0.0031494662460328834,0.0018051727018025977,0.0017177270620392683
2015-09-04,-0.013095698934156805,-0.00745338391715158,-0.014904919001109886,-0.00854942240219221,-0.006236451830066275
2015-09-11,-0.001949808913206415,-0.001145006216449361,-0.002045817803409584,-0.0012162021416574013,-0.00174757225165864
2015-09-18,0.01646456303610056,0.009699099636995803,0.012794718745441384,0.007611094950195175,0.007543782075858368
2015-09-25,-0.009469836546400701,-0.00575244417106674,-0.012584092436854134,-0.007640544939042768,-0.003362265425726199
2015-10-02,0.019744828427214988,0.012166802201638982,0.0672025610218064,0.04174930495229432,0.03949304659931283
2015-10-09,-0.005207276007780035,-0.006679571089984036,-0.0027649772602605983,-0.00439887306774536,-0.004495345023251416
2015-10-16,0.018250434714245003,0.02336560615805683,0.017357838568617733,0.027565241605295963,0.02652463636222725
2015-10-23,0.004782348309761023,0.00587680860774249,-0.0010520745095989944,-0.0015444866326165506,-0.0007782821757161713
2015-10-30,0.007607509183787199,0.009295583875195796,0.005161813483196492,0.00757592741204552,0.008395773753527304
2015-11-06,0.0016525110144136855,0.00200394007989761,-0.0004009973849368119,-0.0005848963702002206,-0.0006010629154245473
2015-11-13,0.0024783669772492334,0.003004034876792023,0.0013362386870095246,0.0019480715329484254,7.619655796168087e-05
2015-11-20,-0.0022898092779223816,-0.0027697551231521027,-0.0012740180351973626,-0.0018539426961409616,-0.0017223896431208176
2015-11-27,0.0031816470006957405,0.0038458814087526778,0.0014105671742038358,0.0020469711825011976,0.00041465512054052574
2015-12-04,-0.00510414894223499,-0.006110327710004418,-0.0027891704001845987,-0.004041699420760395,-0.0011081020441342246
2015-12-11,0.0014166516938106965,0.0016907110245492135,0.006765993654519629,0.009778711622604668,0.0040504874976908965
2015-12-18,0.009710354878063831,0.005762729708382038,0.005781735914328989,0.004132254956073793,0.0038300143976415213
2015-12-25,0.002125075381455861,0.002540989676017916,0.0018488262194313939,0.002646504882458547,0.0027668962137385547
2016-01-01,0.007308019681146852,0.00873346709420234,0.005460144983686339,0.007811382072737814,0.005603962297660529
2016-01-08,0.0011035419755042186,0.0013088143754614848,0.0002819984395468177,0.00040105926329997443,-0.00026864766400065416
2016-01-15,-0.002475713365087638,-0.0014672525751149397,-0.0010447655810238877,-0.0007429865982426719,-0.0012525018269322265
2016-01-22,-0.007200978941771862,-0.004271340469451201,-0.0049232050180060384,-0.003502142473693542,-0.002245924626952447
2016-01-29,0.007730103303371225,0.009240808275218644,0.0053166649154838585,0.007586002221491891,0.008022263392322303
